HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
Man United,Nott'm Forest,3,0,H,1.29,5.5,11.0
Leeds,Man City,1,3,A,9.5,6.0,1.29
West Ham,Brentford,0,2,A,2.0,3.6,3.6
Liverpool,Leicester,2,1,H,1.29,6.0,9.5
Wolves,Man United,0,1,A,4.0,3.6,1.91
Bournemouth,Crystal Palace,0,2,A,2.8,3.3,2.5
Fulham,Southampton,2,1,H,1.95,3.6,3.75
Man City,Everton,1,1,D,1.13,9.0,19.0
Newcastle,Leeds,0,0,D,1.45,4.5,7.0
Brighton,Arsenal,2,4,A,3.4,3.5,2.1
Tottenham,Aston Villa,0,2,A,1.67,4.0,5.0
Nott'm Forest,Chelsea,1,1,D,5.0,3.8,1.7
Brentford,Liverpool,3,1,H,5.5,4.33,1.55
Arsenal,Newcastle,0,0,D,1.8,3.8,4.33
Everton,Brighton,1,4,A,3.5,3.5,2.1
Leicester,Fulham,0,1,A,2.2,3.6,3.1
Man United,Bournemouth,3,0,H,1.29,5.5,11.0
Southampton,Nott'm Forest,0,1,A,2.0,3.5,3.8
Leeds,West Ham,2,2,D,2.6,3.5,2.6
Aston Villa,Wolves,1,1,D,1.95,3.6,4.0
Crystal Palace,Tottenham,0,4,A,3.4,3.5,2.15
Chelsea,Man City,0,1,A,5.0,4.0,1.67
Fulham,Chelsea,2,1,H,3.3,3.5,2.15
Aston Villa,Leeds,2,1,H,1.91,3.6,4.0
Man United,Man City,2,1,H,4.2,3.6,1.85
Brighton,Liverpool,3,0,H,3.4,3.6,2.1
Everton,Southampton,1,2,A,2.25,3.25,3.3
Nott'm Forest,Leicester,2,0,H,2.7,3.3,2.63
Wolves,West Ham,1,0,H,2.63,3.3,2.7
Brentford,Bournemouth,2,0,H,1.65,4.0,5.25
Chelsea,Crystal Palace,1,0,H,1.62,4.0,5.25
Newcastle,Fulham,1,0,H,1.5,4.33,6.5
Tottenham,Arsenal,0,2,A,3.1,3.6,2.2
Crystal Palace,Man United,1,1,D,4.5,3.6,1.8
Man City,Tottenham,4,2,H,1.36,5.0,8.5
Liverpool,Chelsea,0,0,D,1.85,3.75,4.0
Bournemouth,Nott'm Forest,1,1,D,2.75,3.1,2.75
Leicester,Brighton,2,2,D,3.6,3.5,2.05
Southampton,Aston Villa,0,1,A,2.88,3.25,2.55
West Ham,Everton,2,0,H,1.8,3.75,4.75
Crystal Palace,Newcastle,0,0,D,4.4,3.5,1.85
Leeds,Brentford,0,0,D,2.38,3.6,2.88
Man City,Wolves,3,0,H,1.2,8.0,11.0
Arsenal,Man United,3,2,H,1.8,3.8,4.2
Fulham,Tottenham,0,1,A,3.3,3.6,2.1
Chelsea,Fulham,0,0,D,1.62,4.0,5.25
Everton,Arsenal,1,0,H,8.5,4.5,1.4
Aston Villa,Leicester,2,4,A,1.95,3.6,3.8
Brentford,Southampton,3,0,H,1.85,3.6,4.2
Brighton,Bournemouth,1,0,H,1.33,5.25,8.5
Man United,Crystal Palace,2,1,H,1.4,4.75,8.0
Wolves,Liverpool,3,0,H,4.0,3.8,1.85
